ACORDO_TIPO,PROTOCOLO_DATA,PROCESSO_ANATEL,DETENTORA,DETENTORA_CNPJ,SOLICITANTE,SOLICITANTE_CNPJ,INFORME_SEI,INFORME_DATA,CONCLUSAO_DATA,OBSERVACAO,NUM_SEQUENCIA,FINAL
CONTRATO,2013-06-12,48513.023648/2015-95,CELESC DISTRIBUIÇÃO S.A.,,SUL AMERICANA TECNOLOGIA E INFORMÁTICA LTDA.,,01/2016/CPRP/SCP,2016-01-08,2016-01-08,Processo ANEEL: 48513.023648/2015-00.,1,True
CONTRATO,2015-01-23,48526.000122/2015-98,AES SUL DISTRIBUIDORA GAÚCHA DE ENERGIA S.A.,,T.C.A INFORMATICA LTDA.,,2452,2015-03-04,2015-03-09,"Processo Aditivo: 48526.000122/2015. Processo ANEEL: 48500.000139/2015-33. Despacho de homologação ANEEL: 1.175, de 22/04/15, publicado em 23/04/15.",1,False
CONTRATO,2015-01-23,48526.000122/2015-98,COPEL DISTRIBUIÇÃO S.A.,,COMFIBRA - PROVEDOR DE TELECOMUNICAÇÕES LTDA.,,2452,2015-03-04,2015-03-09,Processo Aditivo: 48526.000122/2015. Processo ANEEL: 48500.000141/2015-11.,2,False
CONTRATO,2015-01-23,48526.000122/2015-98,COPEL DISTRIBUIÇÃO S.A.,,DIRECT WIFI TELECOM LTDA.,,2452,2015-03-04,2015-03-09,Processo Aditivo: 48526.000122/2015. Processo ANEEL: 48500.000141/2015-11.,3,False
CONTRATO,2015-01-23,48526.000122/2015-98,COPEL DISTRIBUIÇÃO S.A.,,ANTONIO MARCOS CRUZ & CIA LTDA.,,2452,2015-03-04,2015-03-09,Processo Aditivo: 48526.000122/2015. Processo ANEEL: 48500.000141/2015-11.,4,False
CONTRATO,2015-01-23,48526.000122/2015-98,COPEL DISTRIBUIÇÃO S.A.,,QNET TELECOM LTDA.,,2452,2015-03-04,2015-03-09,Processo Aditivo: 48526.000122/2015. Processo ANEEL: 48500.000140/2015-68.,5,False
CONTRATO,2015-01-23,48526.000122/2015-98,COPEL DISTRIBUIÇÃO S.A.,,CLEBER ATAIDE PASTI & CIA LTDA.,,2452,2015-03-04,2015-03-09,Processo Aditivo: 48526.000122/2015. Processo ANEEL: 48500.000140/2015-68.,6,False
CONTRATO,2015-01-23,48526.000122/2015-98,COPEL DISTRIBUIÇÃO S.A.,,KATIA LUANA DE FREITAS - INFORMÁTICA.,,2452,2015-03-04,2015-03-09,Processo Aditivo: 48526.000122/2015. Processo ANEEL: 48500.000140/2015-68.,7,False
CONTRATO,2015-01-23,48526.000122/2015-98,COPEL DISTRIBUIÇÃO S.A.,,EMPIRE SERVIÇOS DE INTERNET EIRELI,,2452,2015-03-04,2015-03-09,Processo Aditivo: 48526.000122/2015. Processo ANEEL: 48500.000140/2015-68.,8,False
TERMO ADITIVO 1,2015-08-05,48526.000122/2015-98,COPEL DISTRIBUIÇÃO S.A.,,QNET TELECOM LTDA - ME,,133739,2016-01-12,2016-01-12,Processo Aditivo: 53500.203147/2015-70. Processo ANEEL: 48500.000140/2015-68.,9,False
TERMO ADITIVO 2,2015-08-05,48526.000122/2015-98,COPEL DISTRIBUIÇÃO S.A.,,QNET TELECOM LTDA - ME,,133739,2016-01-12,2016-01-12,Processo Aditivo: 53500.203147/2015-70. Processo ANEEL: 48500.000140/2015-68.,10,False
TERMO ADITIVO 3,2015-08-05,48526.000122/2015-98,COPEL DISTRIBUIÇÃO S.A.,,QNET TELECOM LTDA - ME,,133739,2016-01-12,2016-01-12,Processo Aditivo: 53500.203147/2015-70. Processo ANEEL: 48500.000140/2015-68.,11,False
TERMO ADITIVO 4,2015-08-05,48526.000122/2015-98,COPEL DISTRIBUIÇÃO S.A.,,QNET TELECOM LTDA - ME,,133739,2016-01-12,2016-01-12,Processo Aditivo: 53500.203147/2015-70. Processo ANEEL: 48500.000140/2015-68.,12,False
TERMO ADITIVO 2,2015-08-05,48526.000122/2015-98,COPEL DISTRIBUIÇÃO S.A.,,E. NOVA TELECOM (ANTONIO MARCOS CRUZ & CIA LTDA - ME),,133739,2016-01-12,2016-01-12,Processo Aditivo: 53500.203147/2015-70. Processo ANEEL: 48500.000140/2015-68.,13,True
CONTRATO,2015-01-28,48526.000180/2015-11,BANDEIRANTE ENERGIA S.A.,,ALGAR MULTIMÍDIA S/A,,1891,2015-03-04,2015-03-09,Processo Aditivo: 48526.000180/2015. Processo ANEEL: 48500.000277/2015-12.,1,False
CONTRATO,2015-01-28,48526.000180/2015-11,BANDEIRANTE ENERGIA S.A.,,EMPRESA BRASILEIRA DE TELECOMUNICAÇÕES S/A - EMBRATEL,,1891,2015-03-04,2015-03-09,Processo Aditivo: 48526.000180/2015. Processo ANEEL: 48500.000277/2015-12.,2,False
CONTRATO,2015-01-28,48526.000180/2015-11,BANDEIRANTE ENERGIA S.A.,,REDFOX TELECOMUNICAÇÕES LTDA,,1891,2015-03-04,2015-03-09,Processo Aditivo: 48526.000180/2015. Processo ANEEL: 48500.000277/2015-12.,3,True
CONTRATO,2015-01-28,48526.000190/2015-57,AMPLA ENERGIA E SERVIÇOS S.A.,33.050.071/0001-58,TIM CELULAR S.A.,,128,2015-07-09,2015-07-09,Processo ANEEL: 48500.000281/2015-81.,1,False
CONTRATO,2015-01-28,48526.000190/2015-57,LIGHT SERVIÇOS DE ELETRICIDADE S.A,60.444.437/0001-46,G. L. DUARTE MULTIMÍDIA LTDA.,,127,2015-07-09,2015-07-09,Processo ANEEL: 48500.000278/2015-67.,2,False
CONTRATO,2015-01-28,48526.000190/2015-57,LIGHT SERVIÇOS DE ELETRICIDADE S.A,60.444.437/0001-46,INTER-HOME SOLUÇÕES EM INFORMÁTICA LTDA. ME,,127,2015-07-09,2015-07-09,Processo ANEEL: 48500.000278/2015-67.,3,False
CONTRATO,2015-01-28,48526.000190/2015-57,LIGHT SERVIÇOS DE ELETRICIDADE S.A,60.444.437/0001-46,M&M MATTOS SERVIÇO DE TELECOMUNICAÇÕES LTDA. ME,,127,2015-07-09,2015-07-09,Processo ANEEL: 48500.000278/2015-67.,4,True
