PROCESSO_ANATEL,PROTOCOLO_DATA,ACORDO_TIPO,PROCESSO_ORIGEM,PRESTADORA_1_CNPJ,PRESTADORA_1,PRESTADORA_2_CNPJ,PRESTADORA_2,PRESTADORA_3_CNPJ,PRESTADORA_3,ACORDO_TECNOLOGIA,INFORME,INFORME_SEI,INFORME_DATA,ACORDAO,ACORDAO_SEI,ACORDAO_DATA,OBSERVACAO,NUM_SEQUENCIA,FINAL
53500.000608/2020-11,2020-01-07,CONTRATO,,,TELEFONICA BRASIL S.A.,,TIM S A,,,GWCN/MOCN,Informe nº 206/2020/CPRP/SCP,5438699,2020-04-17,ACÓRDÃO Nº 209/2020,5503736,2020-04-17,,1,True
53500.001089/2014-61,2014-02-14,CONTRATO,,40.432.544/0001-47,CLARO S.A.,,TELEFONICA BRASIL S.A.,,,MOCN,Informe nº 189/2014-PRRE/CPRP/SPR/SCP,392130,2014-04-03,ACÓRDÃO Nº 199/2014,392130,2014-04-03,Processo iniciado no SICAP.,1,True
53500.001164/2021-12,2021-01-08,CONTRATO,53500.001164/2021-12,,TELEFONICA BRASIL S.A.,40.432.544/0001-47,CLARO S.A.,,,MOCN,Informe nº 68/2021/CPRP/SCP,6700033,2021-04-09,ACÓRDÃO Nº 286/2021,7295234,2021-04-09,,1,False
53500.001164/2021-12,2021-03-15,ADITIVO,53500.001164/2021-12,,TELEFONICA BRASIL S.A.,40.432.544/0001-47,CLARO S.A.,,,MOCN,Informe nº 68/2021/CPRP/SCP,6700033,2021-04-09,ACÓRDÃO Nº 286/2021,7295234,2021-04-09,,2,True
53500.001341/2014-31,2014-01-09,CONTRATO,,66.970.229/0001-67,CLARO NXT TELECOMUNICACOES LTDA,,TELEFONICA BRASIL S.A.,,,MOCN,Informe nº 111/2014-PRRE/CPRP/SPR/SCP,2841116,2014-02-18,ACÓRDÃO Nº 133/2014,2841116,2014-02-18,Processo iniciado no SICAP.,1,True
53500.002241/2016-94,2016-02-02,ADITIVO,53500.001089/2014-61,40.432.544/0001-47,CLARO S.A.,,TELEFONICA BRASIL S.A.,,,MOCN,Informe nº 83/2016/SEI/CPRP/SCP,345635,2016-04-05,ACÓRDÃO Nº 194/2016,526288,2016-04-05,,1,True
53500.002243/2016-83,2016-02-02,ADITIVO,53500.001089/2014-61,40.432.544/0001-47,CLARO S.A.,,TELEFONICA BRASIL S.A.,,,MOCN,Informe nº 58/2016/SEI/CPRP/SCP,302087,2016-04-05,ACÓRDÃO Nº 194/2016,526288,2016-04-05,,1,True
53500.010657/2016-86,2016-05-09,CONTRATO,,66.970.229/0001-67,CLARO NXT TELECOMUNICACOES LTDA,,TELEFONICA BRASIL S.A.,,,GWCN,Informe nº 179/2016/SEI/CPRP/SCP,504309,2016-06-28,ACÓRDÃO Nº 281/2016,720364,2016-06-28,,1,True
53500.011812/2018-43,2018-03-29,ADITIVO,53500.031688/2012-47,,TIM CELULAR S.A.,,OI MÓVEL S.A. - EM RECUPERAÇÃO JUDICIAL,76.535.764/0001-43,OI S.A. - EM RECUPERACAO JUDICIAL,MOCN,Informe nº 180/2018/SEI/CPRP/SCP,2861810,2018-06-21,ACÓRDÃO Nº 409/2018,2991702,2018-06-21,,1,True
53500.017260/2015-34,2015-07-29,CONTRATO,,,TIM CELULAR S.A.,,TELEFONICA BRASIL S.A.,,OI MÓVEL S.A. - EM RECUPERAÇÃO JUDICIAL,MOCN,Informe nº 288/2015-PRRE/ORLE/ORER/CPRP/SPR/SOR/SCP,508651,2015-10-08,ACÓRDÃO Nº 555/2015,508651,2015-10-08,Processo iniciado no SICAP.,1,True
53500.020308/2014-19,2014-09-05,ADITIVO,53500.001089/2014-61,40.432.544/0001-47,CLARO S.A.,,TELEFONICA BRASIL S.A.,,,MOCN,Informe nº 733/2014-CPRP/PRRE/SCP/SPR,392142,2014-12-05,ACÓRDÃO Nº 22/2015,392142,2014-12-05,Processo iniciado no SICAP.,1,True
53500.024608/2014-69,2014-10-22,ADITIVO,53500.001089/2014-61,40.432.544/0001-47,CLARO S.A.,,TELEFONICA BRASIL S.A.,,,MOCN,Informe nº 733/2014-CPRP/PRRE/SCP/SPR,392142,2014-12-05,ACÓRDÃO Nº 22/2015,392142,2014-12-05,Processo iniciado no SICAP.,1,True
53500.031688/2012-47,2012-11-14,CONTRATO,,,TIM CELULAR S.A.,,OI MÓVEL S.A. - EM RECUPERAÇÃO JUDICIAL,,,MORAN,Informe nº 01/2013/PVCPR/PVCP/SPV,2754301,2013-01-21,DESPACHO Nº 2719/2013-CD,2754301,2013-01-21,Processo iniciado no SICAP.,1,True
53500.043330/2018-52,2018-09-20,CONTRATO,,,ATUA NET PROVEDOR DE INTERNET LTDA-ME,29.634.245/0001-52,MOBI TELECON SOCIEDADE DE PROPOSITO ESPECIFICO LIMITADA,,,MOCN,Informe nº 32/2019/CPRP/SCP,3839831,2019-03-22,ACÓRDÃO Nº 221/2019,4101941,2019-03-22,,1,True
53500.055686/2019-10,2019-12-26,CONTRATO,,40.432.544/0001-47,CLARO S.A.,66.970.229/0001-67,CLARO NXT TELECOMUNICACOES LTDA,,,GWCN,Informe nº 22/2020/CPRP/SCP,5172614,2020-02-07,ACÓRDÃO Nº 50/2020,5301867,2020-02-07,,1,True
53500.315319/2022-86,2022-09-16,CONTRATO,,,TELEFONICA BRASIL S.A.,,TIM S A,,,MOCN,Informe 90 (10203529),10203529,2023-05-09,ACÓRDÃO 126 (11993563),11993563,2023-05-09,Restabelecimento do RAN Sharing dos processos n.º 53500.031688/2012 e 53500.017260/2015-34,1,True
