ACORDO_TIPO;PROTOCOLO_DATA;PROCESSO_ANATEL;DETENTORA;DETENTORA_CNPJ;SOLICITANTE;SOLICITANTE_CNPJ;INFORME_SEI;INFORME_DATA;CONCLUSAO_DATA;OBSERVACAO
CONTRATO;22/04/2013;53500.009204/2013-64;LIGHT SERVIÇOS DE ELETRICIDADE S.A;60444437000146;AFINET;;70/2013-CPRP/SCP;17/06/2013;17/06/2013;"Processo ANEEL: 48500.002273/2013-15. Despacho de homologação ANEEL: 94, de 15/01/14, publicado em 16/01/14."
CONTRATO;02/05/2013;53500.011549/2013-88;CAIUÁ - DISTRIBUIÇÃO DE ENERGIA S.A.;07282377000120;ACER TELECOMUNICAÇÕES;;66/2013-CPRP/SCP;14/06/2013;17/06/2013;"Processo ANEEL: 48500.001859/2013-54. "
CONTRATO;06/05/2013;53500.011548/2013-33;CAIUÁ - DISTRIBUIÇÃO DE ENERGIA S.A.;07282377000120;NOVA PORTONET;;120/2013-CPRP/SCP;28/06/2013;03/07/2013;"Processo ANEEL: 48500.001858/2013-18. Despacho de homologação ANEEL: 3712. de 04/11/2013. Publicado no DOU em 05/11/2013.."
CONTRATO;06/05/2013;53500.012976/2013-83;COPEL DISTRIBUIÇÃO S.A.;04368898000106;CIABRASNET;;73/2013-CPRP/SCP;18/06/2013;18/06/2013;"Processo ANEEL: 48500.002187/2013-02. "
CONTRATO;06/05/2013;53500.012976/2013-83;COPEL DISTRIBUIÇÃO S.A.;04368898000106;DELTA TELECOMUNICAÇÕES;;73/2013-CPRP/SCP;18/06/2013;18/06/2013;"Processo ANEEL: 48500.002271/2013-18. Despacho de homologação ANEEL: 294,  de 09/02/15, publicado no DOU em 10/02/15."
CONTRATO;06/05/2013;53500.012976/2013-83;COPEL DISTRIBUIÇÃO S.A.;04368898000106;DEZ SOLUÇÕES EM INTERNET;;73/2013-CPRP/SCP;18/06/2013;18/06/2013;"Processo ANEEL: 48500.002182/2013-71. "
CONTRATO;06/05/2013;53500.012976/2013-83;COPEL DISTRIBUIÇÃO S.A.;04368898000106;MOTTA E SILVA TECNOLOGIA;;73/2013-CPRP/SCP;18/06/2013;18/06/2013;"Processo ANEEL: 48500.002184/2013-61. Despacho de homologação ANEEL: 235, de 03/02/15, publicado em 04/02/15.."
CONTRATO;06/05/2013;53500.012976/2013-83;COPEL DISTRIBUIÇÃO S.A.;04368898000106;NET RONDON;;73/2013-CPRP/SCP;18/06/2013;18/06/2013;"Processo ANEEL: 48500.002272/2013-62. Despacho de homologação ANEEL: 235, de 03/02/15, publicado em 04/02/15.."
CONTRATO;06/05/2013;53500.012976/2013-83;COPEL DISTRIBUIÇÃO S.A.;04368898000106;SCHMEISKE E OLIVEIRA;;73/2013-CPRP/SCP;18/06/2013;18/06/2013;"Processo ANEEL: 48500.002269/2013-00. "
CONTRATO;06/05/2013;53500.012976/2013-83;COPEL DISTRIBUIÇÃO S.A.;04368898000106;SOLUÇÃO NETWORK;;73/2013-CPRP/SCP;18/06/2013;18/06/2013;"Processo ANEEL: 48500.002185/2013-13. Despacho de homologação ANEEL: 235, de 03/02/15, publicado em 04/02/15.."
CONTRATO;06/05/2013;53500.013276/2013-14;AES SUL DISTRIBUIDORA GAÚCHA DE ENERGIA S.A.;02016440000162;2B TECNOLOGIA;;82/2013-CPRP/SCP;24/06/2013;27/06/2013;"Processo ANEEL: 48500.002274/2013-51. "
CONTRATO;06/05/2013;53500.013276/2013-14;AES SUL DISTRIBUIDORA GAÚCHA DE ENERGIA S.A.;02016440000162;DEFFERRARI;;82/2013-CPRP/SCP;24/06/2013;27/06/2013;"Processo ANEEL: 48500.002537/2013-22. "
CONTRATO;14/05/2013;53500.011547/2013-99;COPEL DISTRIBUIÇÃO S.A.;04368898000106;A. V. DOS SANTOS JUNIOR;;155/2013-CPRP/SCP;12/07/2013;15/07/2013;"Processo ANEEL: 48500.002183/2013-16. "
TERMO ADITIVO 2;16/05/2013;53500.006009/2013-82;COPEL DISTRIBUIÇÃO S.A.;04368898000106;VESX;;225/2013/CPRP/SCP;29/07/2013;29/07/2013;"Processo ANEEL: 48500.000359/2013-03. "
CONTRATO;21/05/2013;53500.013657/2013-95;CELG DISTRIBUIÇÃO S.A - CELG D;01543032000104;CELG TELECOM;;132/2013/CPRP/SCP;09/07/2013;10/07/2013;"Processo ANEEL: 48500.001936/2013-76. "
CONTRATO;22/05/2013;53500.013653/2013-15;CAIUÁ - DISTRIBUIÇÃO DE ENERGIA S.A.;07282377000120;IP 7 SERVIÇOS;;153/2013/CPRP/SCP;12/07/2013;15/07/2013;"Processo ANEEL: 48500.001857/2013-65. Despacho de homologação ANEEL: 2750, de 31/07/13. Publicado no DOU em 01/08/13."
CONTRATO;05/06/2013;53500.013655/2013-04;COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE S/A - COSERN;08324196000181;TIM CELULAR S.A.;;124/2013/CPRP/SCP;03/07/2013;01/07/2013;"Processo ANEEL: 48500.004815/2011-14. "
CORRESPONDÊNCIA DA DETENTORA;12/06/2013;53500.015592/2012-31;LIGHT SERVIÇOS DE ELETRICIDADE S.A;60444437000146;DESAN 41;;299/2013/CPRP/SCP;15/08/2013;16/08/2013;"Processo ANEEL: 48500.003206/2012-29. "
CONTRATO;12/06/2013;48513.023648/2015-95;CELESC DISTRIBUIÇÃO S.A.;08336783000190;SUL AMERICANA TECNOLOGIA E INFORMÁTICA LTDA.;;01/2016/CPRP/SCP;08/01/2016;08/01/2016;"Processo ANEEL: 48513.023648/2015-00. "
CONTRATO;28/06/2013;53500.015938/2013-82;ELETROSUL;;GVT;;214/2013/CPRP/SCP;24/07/2013;01/08/2013;"Processo ANEEL: 48500.002191/2013-62. "
CONTRATO;28/06/2013;53500.015938/2013-82;ELETROSUL;;METROWEB;;214/2013/CPRP/SCP;24/07/2013;01/08/2013;"Processo ANEEL: 48500.000857/2013-48. "
CONTRATO;02/07/2013;53500.017001/2013-41;AES SUL DISTRIBUIDORA GAÚCHA DE ENERGIA S.A.;02016440000162;NET SERVIÇOS PORTO ALEGRE;;258/2013/CPRP/SCP;09/08/2013;12/08/2013;"Processo ANEEL: 48500.002405/2013-09. "
CONTRATO;02/07/2013;53500.017004/2013-85;ELETROPAULO METROPOLITANA ELETRICIDADE DE SÃO PAULO S. A.;61695227000193;JOÃO PAULO AMÉRICO APOCALYPSE;;318/2013/CPRP/SCP;20/08/2013;21/08/2013;"Processo ANEEL: 48500.002843/2013-69. "
CONTRATO;09/07/2013;53500.017002/2013-96;CEEE-GT;;PROCERGS;;Não houve;07/01/2014;07/01/2014;"Processo ANEEL: 48500.004641/2012-71. "
CONTRATO;17/07/2013;53500.019534/2013-68;AMPLA ENERGIA E SERVIÇOS S.A.;33050071000158;GVT;;396/2013-CPRP/SCP;02/09/2013;12/09/2013;"Processo ANEEL: 48500.000167/2012-16. "
CONTRATO;17/07/2013;53500.015930/2013-16;CEB DISTRIBUIÇÃO S.A.;07522669000192;VIVO;;408/2013/CPRP/SCP;05/09/2013;17/09/2013;"Solicitante não Outorgado. Processo ANEEL: 48500.005655/2012-10. "
CONTRATO;18/07/2013;53500.015911/2013-90;AMPLA ENERGIA E SERVIÇOS S.A.;33050071000158;CENTRO DE APOIO AO COMPRADOR E EMPRESÁRIO DA RUA TERESA;;Não aplicável;25/07/2013;25/07/2013;"Processo ANEEL: 48500.000173/2012-65. "
CONTRATO;23/07/2013;53500.016527/2013-12;AMPLA ENERGIA E SERVIÇOS S.A.;33050071000158;AFINET SOLUÇÕES EM TECNOLOGIA;;414/2013/CPRP/SCP;11/09/2013;12/09/2013;"Processo ANEEL: 48500.004243/2013-35. Despacho de homologação ANEEL: 1482, de 13/05/2014, publicado no DOU em 14/05/2014."
CONTRATO;23/07/2013;53500.016527/2013-12;AMPLA ENERGIA E SERVIÇOS S.A.;33050071000158;ALTA REDE NETWORK;;414/2013/CPRP/SCP;11/09/2013;12/09/2013;"Processo ANEEL: 48500.002981/2013-48. "
CONTRATO;23/07/2013;53500.016527/2013-12;AMPLA ENERGIA E SERVIÇOS S.A.;33050071000158;BEMPNET PROVEDOR;;414/2013/CPRP/SCP;11/09/2013;12/09/2013;"Processo ANEEL: 48500.002981/2013-48. "
