PROCESSO_ANATEL;PROTOCOLO_DATA;ACORDO_TIPO;PRESTADORA_1_CNPJ;PRESTADORA_1;SERVICO_1;MODALIDADE_STFC_1;PRESTADORA_2_CNPJ;PRESTADORA_2;SERVICO_2;MODALIDADE_STFC_2;DESPACHO_DECISORIO_SEI;DESPACHO_DECISORIO_DATA;CONCLUSAO_DATA;OBSERVACAO
53500.028940/2006-92;26/10/2006;NÃO INFORMADO;02449992000164;VIVO S.A.;010;;66970229000167;CLARO NXT TELECOMUNICACOES LTDA;020;;-1;06/10/2014;06/10/2014;Classe: IV. Localização: ARQUIVO GERAL.
53500.004342/2007-17;14/02/2007;CONTRATO;02449992000164;VIVO S.A.;010;;66970229000167;CLARO NXT TELECOMUNICACOES LTDA;020;;47;05/08/2015;19/08/2015;Classe: IV. Localização: ESTAÇÃO.
53500.021964/2008-82;14/08/2008;NÃO INFORMADO;66970229000167;CLARO NXT TELECOMUNICACOES LTDA;010;;05958690000100;UNICEL DO BRASIL TELECOMUNICAÇÕES LTDA.;010;;3;13/06/2013;17/06/2013;Classe: IV. Localização: ARQUIVO SETORIAL.
53500.004720/2009-16;04/03/2009;NÃO INFORMADO;02449992000164;VIVO S.A.;010;;05958690000100;UNICEL DO BRASIL TELECOMUNICAÇÕES LTDA.;010;;2;13/06/2013;17/06/2013;Classe: IV. Localização: ARQUIVO SETORIAL.
53500.007610/2009-14;19/03/2009;NÃO INFORMADO;66970229000167;CLARO NXT TELECOMUNICACOES LTDA;020;;01009876000161;AGERA TELECOMUNICAÇÕES S.A.;020;;4998;26/09/2014;29/09/2014;Classe: IV. Localização: ESTAÇÃO.
53500.009336/2009-18;16/04/2009;NÃO INFORMADO;04206050000180;TIM CELULAR S.A.;010;;05958690000100;UNICEL DO BRASIL TELECOMUNICAÇÕES LTDA.;010;;1;13/06/2013;17/06/2013;Classe: IV. Localização: ARQUIVO SETORIAL.
53500.006110/2004-42;02/12/2009;NÃO INFORMADO;40432544000147;CLARO S.A.;010;;71208516000174;ALGAR TELECOM S/A;010;;4038;13/08/2013;15/08/2013;Classe: IV. Localização: ESTAÇÃO.
53500.026931/2010-43;19/10/2010;CONTRATO;02449992000164;VIVO S.A.;010;;81681207000170;SUPERCHIP TELECOMUNICACOES LTDA;020;;3583;16/07/2013;18/07/2013;Classe: IV. Localização: SCP/NÚCLEO.
53500.027611/2010-19;28/10/2010;ADITIVO;71208516000174;ALGAR TELECOM S/A;010;;02449992000164;VIVO S.A.;010;;3593;16/07/2013;18/07/2013;Classe: IV. Localização: SCP/NÚCLEO.
53500.028794/2011-62;21/12/2011;CONTRATO;76535764000143;Oi S.a. - em Recuperacao Judicial;171;LDI;08868001000164;HOJE SISTEMAS DE INFORMATICA -EM RECUPERAÇÃO JUDICIAL;171;LDI;5252;30/10/2013;01/11/2013;Classe: I-770.
53500.028794/2011-62;21/12/2011;CONTRATO;76535764000143;Oi S.a. - em Recuperacao Judicial;171;LDI;08868001000164;HOJE SISTEMAS DE INFORMATICA -EM RECUPERAÇÃO JUDICIAL;171;LDN;5252;30/10/2013;01/11/2013;Classe: I-770.
53500.028794/2011-62;21/12/2011;CONTRATO;76535764000143;Oi S.a. - em Recuperacao Judicial;171;LDI;08868001000164;HOJE SISTEMAS DE INFORMATICA -EM RECUPERAÇÃO JUDICIAL;171;LOCAL;5252;30/10/2013;01/11/2013;Classe: I-770.
53500.028794/2011-62;21/12/2011;CONTRATO;76535764000143;Oi S.a. - em Recuperacao Judicial;171;LDN;08868001000164;HOJE SISTEMAS DE INFORMATICA -EM RECUPERAÇÃO JUDICIAL;171;LDI;5252;30/10/2013;01/11/2013;Classe: I-770.
53500.028794/2011-62;21/12/2011;CONTRATO;76535764000143;Oi S.a. - em Recuperacao Judicial;171;LDN;08868001000164;HOJE SISTEMAS DE INFORMATICA -EM RECUPERAÇÃO JUDICIAL;171;LDN;5252;30/10/2013;01/11/2013;Classe: I-770.
53500.028794/2011-62;21/12/2011;CONTRATO;76535764000143;Oi S.a. - em Recuperacao Judicial;171;LDN;08868001000164;HOJE SISTEMAS DE INFORMATICA -EM RECUPERAÇÃO JUDICIAL;171;LOCAL;5252;30/10/2013;01/11/2013;Classe: I-770.
53500.028794/2011-62;21/12/2011;CONTRATO;76535764000143;Oi S.a. - em Recuperacao Judicial;171;LOCAL;08868001000164;HOJE SISTEMAS DE INFORMATICA -EM RECUPERAÇÃO JUDICIAL;171;LDI;5252;30/10/2013;01/11/2013;Classe: I-770.
53500.028794/2011-62;21/12/2011;CONTRATO;76535764000143;Oi S.a. - em Recuperacao Judicial;171;LOCAL;08868001000164;HOJE SISTEMAS DE INFORMATICA -EM RECUPERAÇÃO JUDICIAL;171;LDN;5252;30/10/2013;01/11/2013;Classe: I-770.
53500.028794/2011-62;21/12/2011;CONTRATO;76535764000143;Oi S.a. - em Recuperacao Judicial;171;LOCAL;08868001000164;HOJE SISTEMAS DE INFORMATICA -EM RECUPERAÇÃO JUDICIAL;171;LOCAL;5252;30/10/2013;01/11/2013;Classe: I-770.
53500.016955/2007-99;09/01/2012;CONTRATO;04533132000130;CONECTA TELECOMUNICACOES S.A.;171;LDI;02558157000162;Telefonica Brasil S.a.;171;LDI;2613;19/04/2013;17/05/2013;Classe: I-383. Localização: ARQUIVO SETORIAL.
53500.016955/2007-99;09/01/2012;CONTRATO;04533132000130;CONECTA TELECOMUNICACOES S.A.;171;LDI;02558157000162;Telefonica Brasil S.a.;171;LDN;2613;19/04/2013;17/05/2013;Classe: I-383. Localização: ARQUIVO SETORIAL.
53500.016955/2007-99;09/01/2012;CONTRATO;04533132000130;CONECTA TELECOMUNICACOES S.A.;171;LDI;02558157000162;Telefonica Brasil S.a.;171;LOCAL;2613;19/04/2013;17/05/2013;Classe: I-383. Localização: ARQUIVO SETORIAL.
