PROCESSO_ANATEL;PROTOCOLO_DATA;ACORDO_TIPO;PROCESSO_ORIGEM;PRESTADORA_1_CNPJ;PRESTADORA_1;PRESTADORA_2_CNPJ;PRESTADORA_2;PRESTADORA_3_CNPJ;PRESTADORA_3;PRESTADORA_4_CNPJ;PRESTADORA_4;ACORDO_TECNOLOGIA;INFORME;INFORME_SEI;INFORME_DATA;ACORDAO;ACORDAO_SEI;ACORDAO_DATA;OBSERVACAO
53500.031688/2012-47;14/11/2012;CONTRATO;;04206050000180;TIM CELULAR S.A.;05423963000111;OI MÓVEL S.A. - EM RECUPERAÇÃO JUDICIAL;;;;;MORAN;Informe nº 01/2013/PVCPR/PVCP/SPV;2754301;21/01/2013;Despacho nº 2719/2013-CD;2754301;21/01/2013;"Processo iniciado no SICAP."
53500.001341/2014-31;09/01/2014;CONTRATO;;66970229000167;CLARO NXT TELECOMUNICACOES LTDA;02558157000162;Telefonica Brasil S.a.;;;;;MOCN;Informe nº 111/2014-PRRE/CPRP/SPR/SCP;2841116;18/02/2014;Acórdão nº 133/2014;2841116;18/02/2014;"Processo iniciado no SICAP."
53500.017260/2015-34;29/07/2015;CONTRATO;;04206050000180;TIM CELULAR S.A.;02558157000162;Telefonica Brasil S.a.;05423963000111;OI MÓVEL S.A. - EM RECUPERAÇÃO JUDICIAL;;;MOCN;Informe nº 288/2015-PRRE/ORLE/ORER/CPRP/SPR/SOR/SCP;508651;08/10/2015;Acórdão nº 555/2015;508651;08/10/2015;"Processo iniciado no SICAP."
53500.001089/2014-61;14/02/2014;CONTRATO;;40432544000147;CLARO S.A.;02558157000162;Telefonica Brasil S.a.;;;;;MOCN;Informe nº 189/2014-PRRE/CPRP/SPR/SCP;392130;03/04/2014;Acórdão nº 199/2014;392130;03/04/2014;"Processo iniciado no SICAP."
53500.020308/2014-19;05/09/2014;ADITIVO;53500.001089/2014-61;40432544000147;CLARO S.A.;02558157000162;Telefonica Brasil S.a.;;;;;MOCN;Informe nº 733/2014-CPRP/PRRE/SCP/SPR;392142;05/12/2014;Acórdão nº 22/2015;392142;05/12/2014;"Processo iniciado no SICAP."
53500.024608/2014-69;22/10/2014;ADITIVO;53500.001089/2014-61;40432544000147;CLARO S.A.;02558157000162;Telefonica Brasil S.a.;;;;;MOCN;Informe nº 733/2014-CPRP/PRRE/SCP/SPR;392142;05/12/2014;Acórdão nº 22/2015;392142;05/12/2014;"Processo iniciado no SICAP."
53500.002241/2016-94;02/02/2016;ADITIVO;53500.001089/2014-61;40432544000147;CLARO S.A.;02558157000162;Telefonica Brasil S.a.;;;;;MOCN;Informe nº 83/2016/SEI/CPRP/SCP;345635;05/04/2016;Acórdão nº 194/2016;526288;05/04/2016;""
53500.002243/2016-83;02/02/2016;ADITIVO;53500.001089/2014-61;40432544000147;CLARO S.A.;02558157000162;Telefonica Brasil S.a.;;;;;MOCN;Informe nº 58/2016/SEI/CPRP/SCP;302087;05/04/2016;Acórdão nº 194/2016;526288;05/04/2016;""
53500.010657/2016-86;09/05/2016;CONTRATO;;66970229000167;CLARO NXT TELECOMUNICACOES LTDA;02558157000162;Telefonica Brasil S.a.;;;;;GWCN;Informe nº 179/2016/SEI/CPRP/SCP;504309;28/06/2016;Acórdão nº 281/2016;720364;28/06/2016;""
53500.011812/2018-43;29/03/2018;ADITIVO;53500.031688/2012-47;04206050000180;TIM CELULAR S.A.;05423963000111;OI MÓVEL S.A. - EM RECUPERAÇÃO JUDICIAL;76535764000143;Oi S.a. - em Recuperacao Judicial;;;MOCN;Informe nº 180/2018/SEI/CPRP/SCP;2861810;21/06/2018;Acórdão nº 409/2018;2991702;21/06/2018;""
53500.043330/2018-52;20/09/2018;CONTRATO;;08852304000199;ATUA NET PROVEDOR DE INTERNET LTDA-ME;29634245000152;MOBI TELECON SOCIEDADE DE PROPOSITO ESPECIFICO LIMITADA;;;;;MOCN;Informe nº 32/2019/CPRP/SCP;3839831;22/03/2019;Acórdão nº 221/2019;4101941;22/03/2019;""
53500.055686/2019-10;26/12/2019;CONTRATO;;40432544000147;CLARO S.A.;66970229000167;CLARO NXT TELECOMUNICACOES LTDA;;;;;GWCN;Informe nº 22/2020/CPRP/SCP;5172614;07/02/2020;Acórdão nº 50/2020;5301867;07/02/2020;""
53500.000608/2020-11;07/01/2020;CONTRATO;;02558157000162;Telefonica Brasil S.a.;02421421000111;TIM S A;;;;;GWCN/MOCN;Informe nº 206/2020/CPRP/SCP;5438699;17/04/2020;Acórdão nº 209/2020;5503736;17/04/2020;""
53500.001164/2021-12;08/01/2021;CONTRATO;53500.001164/2021-12;02558157000162;Telefonica Brasil S.a.;40432544000147;CLARO S.A.;;;;;MOCN;Informe nº 68/2021/CPRP/SCP;6700033;09/04/2021;Acórdão nº 286/2021;7295234;09/04/2021;""
53500.001164/2021-12;15/03/2021;ADITIVO;53500.001164/2021-12;02558157000162;Telefonica Brasil S.a.;40432544000147;CLARO S.A.;;;;;MOCN;Informe nº 68/2021/CPRP/SCP;6700033;09/04/2021;Acórdão nº 286/2021;7295234;09/04/2021;""
53500.001164/2021-12;15/03/2021;ADITIVO;53500.001164/2021-12;02558157000162;Telefonica Brasil S.a.;40432544000147;CLARO S.A.;;;;;MOCN;Informe nº 68/2021/CPRP/SCP;6700033;09/04/2021;Acórdão nº 286/2021;7295234;09/04/2021;""
53500.315319/2022-86;16/09/2022;CONTRATO;;02558157000162;Telefonica Brasil S.a.;02421421000111;TIM S A;;;;;MOCN;Informe 90 (10203529);10203529;09/05/2023;Acórdão 126 (11993563);11993563;09/05/2023;"Restabelecimento do RAN Sharing dos processos n.º 53500.031688/2012 e 53500.017260/2015-34"
