PROCESSO_ANATEL;CREDENCIADAS_VIGENTES
53504.001925/2016-39;BT Brasil Serviços de Telecomunicações Ltda. (BT Brasil)
53500.015283/2016-95;Empresa Brasileira de Correios e Telégrafos (Correios)
53504.000883/2017-08;Eseye do Brasil Tecnologia da Informação Ltda
53500.060891/2017-35;DEUTSCHE TELEKOM GLOBAL BUSINESS SOLUTIONS BRASIL LTDA
53504.008572/2017-89;Brisanet Serviços de Telecomunicações Ltda
53500.067529/2017-95;GRÊMIO OSASCO AUDAX ESPORTE CLUBE
53500.071195/2017-54;Level 3 Comunicações do Brasil LTDA
53504.016428/2017-16;Fonelight Telecomunicações S/A
53504.019121/2017-77;Fama Serviços Tecnologia da Informação Ltda
53504.007684/2018-01;Algar Telecom S.A.
53500.056152/2018-20;Fique Móvel Serviços de Telecomunicações
53500.013513/2019-24;1Telecom Serviços de Tecnologia em Internet LTDA
53500.017208/2019-10;ONI TELECOM SERVIÇOS E COMÉRCIO LTDA
53500.024612/2019-31;Ora Serviços de Telecomunicações Ltda
53500.029064/2019-36;DB3 Serviços de Telecomunicações LTDA (DB3 TELECOM)
53500.039834/2019-59;Fluke Telefonia Móvel Celular LTDA
53500.054207/2019-48;Veek Tecnologia S/A
53500.005039/2020-09;Sow Telecomunicações LTDA
53500.006681/2020-05;Cianet Provedor de Internet Eireli
53500.006685/2020-85;Vex Telecom Serviços de Telecomunicação LTDA
53500.009739/2020-64;Linksfield Tecnologia do Brasil LTDA
53500.013581/2020-27;New Master Turbo Net LTDA
53500.020126/2020-88;Tip Tecnologia LTDA
53500.020791/2020-71;Voa Telecomunicações Eireli
53500.020820/2020-03;Tgn-Br Internet LTDA
53500.023635/2020-62;SOLLY SOLUÇÕES E TECNOLOGIA LTDA
53500.023876/2020-10;Yes Celular Ltda
53500.025367/2020-13;PLAY MÓVEL LTDA
53500.032974/2020-30;DESKTOP S.A.
53500.033986/2020-81;VMAX DIGITAL DO BRASIL LTDA
53500.034392/2020-98;Contel Telecom Ltda
53500.035282/2020-43;Network Telecomunicações Ltda
53500.035518/2020-41;Teletalk Comércio e Serviços Eireli
53500.036002/2020-14;Net Barretos Tecnologia Ltda
53500.038023/2020-74;SUA TELECOM LTDA
53500.038021/2020-85;It Tecnologia e Informacao Ltda
53500.038260/2020-35;Ampernet - Telecomunicacoes Ltda
53500.038324/2020-06;Globalnet Serviços e Informática Ltda-Me
53500.038326/2020-97;BRSULNET SERVIÇOS EM TECNOLOGIA DA INFORMAÇÃO LTDA
53500.039965/2020-70;Rede Fibra Telecom Ltda
53500.040661/2020-55;ALLREDE SERVIÇOS DIGITAIS LTDA
53500.041710/2020-77;Cuiaba Fibra Internet Eireli
53500.045061/2020-83;Tata Communications Comunicações e Multimídia (Brazil) Ltda
53500.045138/2020-15;Bipnet Fibra Telecom Ltda
53500.046450/2020-26;GIGALINK DE NOVA FRIBURGO SOLUÇÕES EM REDE MULTIMÍDIA LTDA
53500.047279/2020-72;XPLAY MOBILE & IOT LTDA
53500.048541/2020-04;Tri Telecom Ltda
53500.054633/2020-15;LIFE SERVIÇOS DE COMUNICAÇÃO MULTIMÍDIA LTDA - EM RECUPERAÇÃO JUDICIAL
53500.054679/2020-34;ABCrede Telecom
53500.054685/2020-91;FC Negócios Digitais Ltda
53500.054721/2020-17;Grupo Macro Comunicação Ltda
53500.054692/2020-93;Conect Provedor de Acesso a Internet Ltda
53500.055373/2020-03;Gertel Telecom Eireli
53500.057069/2020-92;Assicom - Associação das Empresas e Usuários das Tecnologias de Informação e Comunicação
53500.057958/2020-50;C-Ligue Telecomunicações Ltda
53500.063719/2020-39;Infranet Internet Eirele
53500.063723/2020-05;Fleetnet Telecomunicações Ltda
53500.068146/2020-30;INTER CONECTIVIDADE LTDA
53500.069056/2020-66;Investel Participações Ltda
53500.069065/2020-57;Sidi Serviços de Comunicação Ltda Me
53500.071782/2020-49;Tcheturbo Provedor de Internet Ltda
53500.071779/2020-25;Gl Fibra Serviços de Telecomunicações Ltda
53500.071776/2020-91;Brphonia Provedor Ip Ltda
53500.003293/2021-45;ISPX SOLUÇÕES EM TELECOMUNICAÇÕES SPE LTDA
53500.012493/2021-99;R7 Serviços de Conexões Ltda
53500.012506/2021-20;Ative Telecomunicações S.A.
53500.013077/2021-16;Hug Help Digital Service Eireli
53500.016242/2021-83;Wireless Comm Services Ltda
53500.018754/2021-84;AGE TELECOMUNICAÇÕES S.A.
53500.019519/2021-20;Oquei Telecom Ltda
53500.020141/2021-15;Navi Serviços Digitais Ltda
53500.020361/2021-31;Mottanet Sva - Serviços de Provedor de Acesso as Redes de Comunicação Ltda
53500.024115/2021-58;Ultra Telecomunicações Ltda
53500.025273/2021-25;Falemais Comunicações Ltda
53500.025466/2021-86;VMAX DIGITAL DO BRASIL LTDA
53500.025893/2021-64;Cabo Serviços de Telecomunicações Ltda
53500.035485/2021-11;Net Alternativa Provedor de Internet Ltda
53500.038727/2021-28;Magazine Luiza S.A.
53500.040849/2021-84;Rico Telecom Serviços de Telecomunicações Ltda
53500.045468/2021-91;Aquário Tecnologia da Informação Ltda
53500.048559/2021-89;Conlife Administradora de Convênio Ltda
53500.048606/2021-94;Next Level Tecnologia Ltda
53500.049961/2021-81;Datora Telecomunicações Ltda
53500.049491/2021-55;Teravoz Telecom Telecomunicações Ltda
53500.050170/2021-01;La Famiglia Cuore Ltda
53500.051164/2021-63;Dotan Intermediações Ltda
53500.054547/2021-93;Sistel Fibra Serviços de Comunicação Multimídia Ltda
53500.058419/2021-19;Surf Tech S.A.
53500.058425/2021-76;Cruz Vermelha Brasileira - Filial de São Paulo
53500.068756/2021-14;Carrefour Comércio e Indústria Ltda
53500.074573/2021-38;Iot Telecom Ltda
53500.081744/2021-85;PAFER SERVIÇOS DE APOIO ADMINISTRATIVO LTDA
53500.091092/2021-97;Eai Telecomunicações Ltda
53500.000563/2022-47;P4 Telecom Ltda
53500.003917/2022-13;ISPX SOLUÇÕES EM TELECOMUNICAÇÕES SPE LTDA
53500.004160/2022-77;OFF SHORE LINK SAT LTDA
53500.005377/2022-02;Teravoz Telecom Telecomunicações Ltda
53500.010152/2022-60;WSP SERVIÇOS DE TELECOMUNICAÇÕES LTDA
53500.018749/2022-52;AZULDATA TECNOLOGIAS EIRELI
53500.024433/2022-08;SALVY LTDA
53500.030833/2022-44;NUH! DIGITAL LTDA
53500.027201/2022-01;NUH! DIGITAL LTDA
53500.047648/2022-99;NUH! DIGITAL LTDA
53500.053555/2022-01;PLAY SERVIÇO DE VALOR AGREGADO LTDA
53500.298776/2022-07;IVM COMÉRCIO E SERVIÇOS DE INFORMÁTICA LTDA
53500.302638/2022-21;ZILIONET TELECOMUNICAÇÕES LTDA
53500.302635/2022-98;BNET TELECOMUNICAÇÕES LTDA
53500.302637/2022-87;REDE CONESUL TELECOMUNICAÇÕES LTDA
53500.305890/2022-92;TELECOM SOUTH AMERICA S.A.
53500.305885/2022-80;ISPS DO BRASIL S.A.
53500.312668/2022-46;RESOLVE TELECOM LIMITADA
53500.316766/2022-52;GRUPO FEDERAL LTDA
53500.321575/2022-11;ASSOCIAÇÃO BRASILEIRA DE USUÁRIOS DE TELECOMUNICAÇÕES - ABRUTELECOM
53500.322472/2022-60;PRUDENTE GESTÃO DE PAGAMENTOS LTDA
53500.322984/2022-26;INOVA SOLUÇÕES EM TELECOMUNICAÇÃO EIRELI
53500.326838/2022-70;RAPPI CONNECT BRASIL LTDA
53500.329577/2022-40;MTC S.A.
53500.329100/2022-64;GATEWAY TELECOM LTDA
53500.337176/2022-63;DATELO TELECOMUNICAÇÕES LTDA
53500.338666/2022-87;AIR FIBER TELECOM LTDA
53500.338678/2022-10;WATCH TV ENTRETENIMENTOS S/A
53500.343089/2022-45;FACILITA TELECOM LTDA
53500.343098/2022-36;VITÓRIA TECNOLOGIA E DESENVOLVIMENTO LTDA
53500.343093/2022-11;Tgn-Br Internet LTDA
53500.001813/2023-47;KORE BRASIL LTDA
53500.012529/2023-04;BTT TELECOMUNICAÇÕES S.A.
53500.017573/2023-01;VONEX TELECOMUNICAÇÕES LTDA
53500.022701/2023-20;ARTHUR LUNDGREN TECIDOS S.A. - CASAS PERNAMBUCANAS
53500.022861/2023-79;TEGG TECHNOLOGY LTDA
53500.029175/2023-29;QUECTEL BRASIL COMÉRCIO DE PRODUTOS DE TELECOMUNICAÇÕES LTDA
53500.032411/2023-94;TIP NACIONAL TELECOM LTDA (EX-TVN)
53500.022777/2019-79;Dry Company do Brasil Comércio e Tecnologia LTDA (Dry Steam)
53500.032745/2023-68;BTMT LTDA
53500.038250/2023-42;ALFA NETWORK SOLUTIONS INFORMÁTICA LTDA
53500.063278/2023-18;VAREJO TELECOM LTDA
53500.069427/2023-52;Ampernet - Telecomunicacoes Ltda
53500.076512/2023-77;NOVA ERA TELECOMUNICAÇÕES SERVIÇOS DE INTERNET LTDA
53500.095588/2023-00;QUECTEL BRASIL COMÉRCIO DE PRODUTOS DE TELECOMUNICAÇÕES LTDA
53500.097778/2023-53;NUH! DIGITAL LTDA
53500.100499/2023-84;TCONNECT TELECOMUNICAÇÕES LTDA
53500.109559/2023-24;SAFE TELECOM S.A.
53500.110232/2023-03;GIESECKE+DEVRIENT MOBILE SECURITY TCD BRASIL LTDA
53500.002003/2024-99;OPÇÃO TELECOM TELECOMUNICAÇÕES S.A.
53500.002748/2024-58;NUCOMMERCE LTDA
53500.008606/2024-02;ALLCOM TELECOM COMÉRCIO E SERVIÇOS LTDA
53500.011429/2024-33;Veek Tecnologia S/A
53500.011442/2024-92;DIGIREDES TELECOMUNICAÇÕES LTDA
53500.012544/2024-25;VERO S.A.
53500.016700/2024-27;BW TELECOMUNICAÇÕES LTDA
53500.016683/2024-28;ATHOSTEC SOLUÇÕES TECNOLÓGICAS LTDA
53500.024890/2024-56;GRUPO UAISAT LTDA
53500.027249/2024-73;ABCrede Telecom
53500.027924/2024-64;SOFTDADOS TELECOMUNICAÇÕES LTDA
53500.034231/2024-28;Completa Telecomunicações Ltda
53500.036109/2024-96;TVN NACIONAL TELECOM LTDA
53500.039551/2024-74;CUSTOMER FIRST CONSULTORIA DE TELECOMUNICAÇÕES LTDA
53500.050643/2024-13;IPM TECNOLOGIA E TELEFONIA MÓVEL LTDA
53500.058947/2024-11;SPEEDRS TECNOLOGIA DA INFORMAÇÃO LTDA
53500.058945/2024-21;HELLO MOBILE LTDA
